Number_of_cities;Dataset;Fitness;Solution;Drone;Truck;A
10;R101_2.dat;534,0156212;[[[[0, [0, 2, 1, 5, 0]], [2, [3, 4]], [4, []], [3, [7, 10]], [1, [8]], [9, [6, 9]], [10, []], [7, []], [8, []], [5, []], [6, []]]], [[[1, [8]]], [[2, [3, 4]]], [[3, [7, 10]]], [[9, [6, 9]]]]];1;1;4
10;R101_2.dat;414,0156212;[[[[0, [5]], [5, []], [10, [10, 7]], [7, []], [8, [8, 6]], [6, []]], [[0, [1]], [1, []], [2, [2, 4]], [4, []], [3, [3]], [9, [9]]]], [[[2, [2, 4]]], [[10, [10, 7]]], [[3, [3]]], [[9, [9]]], [[8, [8, 6]]]]];2;2;4
10;R101_3.dat;847;[[[[0, [0, 6, 5, 8, 7, 10, 1, 9, 3, 4, 2, 0]], [6, []], [5, []], [8, []], [7, []], [10, []], [1, []], [9, []], [3, []], [4, []], [2, []]]], []];1;1;4
10;R101_3.dat;611;[[[[0, [1]], [1, []], [5, [5]], [2, [2, 4, 3]], [4, []], [3, []], [6, [6]], [8, [8]], [7, [7, 10]], [10, []]], [[0, [9]], [9, []]]], [[[5, [5]]], [[2, [2, 4, 3]]], [[6, [6]]], [[8, [8]]], [[7, [7, 10]]]]];2;2;4
10;RC101_0.5.dat;398;[[[[0, [5, 10, 2, 1, 3, 8, 4, 6]], [9, [9, 7]], [10, []], [6, []], [7, []], [8, []], [4, []], [5, []], [3, []], [1, []], [2, []]]], [[[9, [9, 7]]]]];1;1;4
10;RC101_0.5.dat;289;[[[[0, [0, 1, 3, 5, 4, 8, 7, 6, 0]], [1, []], [3, []], [5, []], [4, []], [8, []], [7, []], [6, []]], [[0, [0, 0]], [2, [10, 2, 9]], [10, []], [9, []]]], [[[2, [10, 2, 9]]]]];2;2;4
10;RC101_1.5.dat;450,3016516;[[[[0, [5, 4, 10, 3, 1, 2]], [6, [6, 8]], [2, []], [1, []], [3, []], [5, []], [4, []], [8, []], [7, [7]], [10, []], [9, [9]]]], [[[6, [6, 8]]], [[7, [7]]], [[9, [9]]]]];1;1;4
10;RC101_1.5.dat;329,6198852;[[[[0, [3, 4, 1, 2]], [1, [7, 5]], [5, []], [3, []], [4, []], [8, [8, 6]], [7, []], [6, []], [2, []]], [[0, []], [10, [10]], [9, [9]]]], [[[10, [10]]], [[1, [7, 5]]], [[8, [8, 6]]], [[9, [9]]]]];2;2;4
10;RC101_1.dat;410;[[[[0, [0, 2, 1, 3, 5, 4, 10, 0]], [2, [8]], [1, []], [3, []], [5, []], [4, []], [8, []], [6, [6, 7]], [7, []], [10, [9]], [9, []]]], [[[2, [8]]], [[6, [6, 7]]], [[10, [9]]]]];1;1;4
10;RC101_1.dat;294;[[[[0, [0, 1, 5, 3, 4, 2, 0]], [1, []], [5, []], [3, []], [4, []], [8, [8, 6, 7]], [7, []], [6, []], [2, []]], [[0, [0, 10, 9, 0]], [10, []], [9, []]]], [[[8, [8, 6, 7]]]]];2;2;4
10;RC101_2.5.dat;542,9133388;[[[[0, [0, 1, 5, 2, 3, 4, 10, 0]], [1, []], [5, []], [2, [8]], [3, []], [4, []], [8, []], [6, [6, 7]], [7, []], [10, []], [9, [9]]]], [[[2, [8]]], [[6, [6, 7]]], [[9, [9]]]]];1;1;4
10;RC101_2.5.dat;442,1527069;[[[[0, [0, 5, 1, 4, 3, 2, 0]], [5, []], [1, []], [4, []], [3, []], [2, [8]], [6, [6, 7]], [7, []], [8, []]], [[0, [0, 10, 0]], [9, [9]], [10, []]]], [[[6, [6, 7]]], [[2, [8]]], [[9, [9]]]]];2;2;4
10;RC101_2.dat;503,6629356;[[[[0, [0, 1, 2, 4, 5, 3, 10, 0]], [1, []], [2, [6]], [6, []], [4, []], [5, []], [3, []], [8, [7, 8]], [7, []], [9, [9]], [10, []]]], [[[2, [6]]], [[8, [7, 8]]], [[9, [9]]]]];1;1;4
10;RC101_2.dat;398,1443229;[[[[0, [4, 3]], [3, []], [4, []], [6, [6]], [8, [8, 7]], [7, []]], [[0, [1]], [5, [5, 2]], [2, [10]], [1, []], [10, []], [9, [9]]]], [[[5, [5, 2]]], [[2, [10]]], [[6, [6]]], [[8, [8, 7]]], [[9, [9]]]]];2;2;4
10;RC101_3.dat;687;[[[[0, [0, 9, 10, 6, 7, 8, 4, 5, 1, 3, 2, 0]], [9, []], [10, []], [6, []], [7, []], [8, []], [4, []], [5, []], [1, []], [3, []], [2, []]]], []];1;1;4
10;RC101_3.dat;523;[[[[0, [0, 2, 7, 4, 5, 3, 1, 0]], [6, [6]], [2, []], [8, [8]], [7, []], [4, []], [5, []], [3, []], [1, []]], [[0, [0, 10, 9, 0]], [10, []], [9, []]]], [[[6, [6]]], [[8, [8]]]]];2;2;4
15;C101_0.5.dat;289;[[[[0, [5, 3, 4, 1, 2, 6, 8, 10, 7, 11, 14, 13, 15]], [5, []], [3, []], [4, []], [1, []], [2, []], [6, []], [8, []], [9, [9, 12]], [12, []], [14, []], [15, []], [13, []], [11, []], [10, []], [7, []]]], [[[9, [9, 12]]]]];1;1;4
15;C101_0.5.dat;234,2105215;[[[[0, [1, 5, 11, 6]], [11, []], [8, [8]], [6, []], [9, [9, 7]], [7, []], [5, []], [1, []], [2, [2, 4]], [4, []], [3, [3]]], [[0, [13]], [10, [10, 14]], [12, [12, 15]], [14, []], [15, []], [13, []]]], [[[10, [10]]], [[10, [14]]], [[8, [8]]], [[12, [12, 15]]], [[9, [9, 7]]], [[2, [2, 4]]], [[3, [3]]]]];2;2;4
15;C101_1.5.dat;387;[[[[0, [0, 7, 3, 5, 4, 1, 2, 9, 13, 15, 14, 12, 11, 10, 8, 6, 0]], [7, []], [3, []], [5, []], [4, []], [1, []], [2, []], [9, []], [13, []], [15, []], [14, []], [12, []], [11, []], [10, []], [8, []], [6, []]]], []];1;1;4
15;C101_1.5.dat;339;[[[[0, [12, 3, 5, 8, 9, 11]], [5, []], [3, []], [8, []], [11, []], [12, []], [9, []]], [[0, [2, 1, 10, 14, 13]], [10, []], [13, []], [14, []], [15, [15, 7]], [6, [6]], [2, []], [1, []], [4, [4]], [7, []]]], [[[15, [15, 7]]], [[6, [6]]], [[4, [4]]]]];2;2;4
15;C101_1.dat;331;[[[[0, [0, 5, 3, 4, 1, 2, 6, 8, 13, 15, 14, 11, 10, 7, 0]], [5, []], [3, []], [4, []], [1, []], [2, [9]], [6, []], [8, []], [9, []], [13, [12]], [15, []], [14, []], [12, []], [11, []], [10, []], [7, []]]], [[[2, [9]]], [[13, [12]]]]];1;1;4
15;C101_1.dat;255,0788655;[[[[0, [0, 7, 10, 6, 4, 1, 3, 2, 11, 9, 8, 0]], [7, []], [10, []], [6, []], [4, []], [1, []], [3, []], [2, []], [11, []], [9, []], [8, []]], [[0, [0, 0]], [5, [5]], [12, [12]], [14, [13, 14, 15]], [15, []], [13, []]]], [[[12, [12]]], [[5, [5]]], [[14, [13, 14, 15]]]]];2;2;4
15;C101_2.5.dat;467;[[[[0, [0, 7, 10, 11, 12, 14, 15, 13, 9, 8, 6, 2, 1, 4, 3, 5, 0]], [7, []], [10, []], [11, []], [12, []], [14, []], [15, []], [13, []], [9, []], [8, []], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []]]], []];1;1;4
15;C101_2.5.dat;419;[[[[0, [7, 8, 12]], [8, []], [12, []], [7, []]], [[0, [13, 11, 1, 5]], [13, []], [14, [14]], [15, [15]], [11, []], [6, [6]], [1, []], [4, [4]], [10, [10]], [9, [9]], [2, [2]], [3, [3]], [5, []]]], [[[14, [14]]], [[15, [15]]], [[6, [6]]], [[4, [4]]], [[10, [10]]], [[9, [9]]], [[2, [2]]], [[3, [3]]]]];2;2;4
15;C101_2.dat;384,3598;[[[[0, [4, 3, 2, 13, 1, 10, 11]], [5, [5]], [2, []], [1, []], [4, []], [3, [15]], [10, []], [11, []], [8, [8, 14, 7]], [13, []], [15, []], [14, []], [12, [12, 9]], [9, []], [6, [6]], [7, []]]], [[[5, [5]]], [[3, [15]]], [[8, [8, 14, 7]]], [[12, [12, 9]]], [[6, [6]]]]];1;1;4
15;C101_2.dat;318,1577311;[[[[0, [11, 1]], [5, [5]], [1, []], [2, [2]], [3, [3]], [11, []], [15, [15]], [12, [12, 8]], [8, []]], [[0, [4, 10, 13]], [4, []], [10, [7, 14]], [13, []], [14, []], [9, [9]], [6, [6]], [7, []]]], [[[5, [5]]], [[2, [2]]], [[3, [3]]], [[10, [7, 14]]], [[15, [15]]], [[12, [12, 8]]], [[9, [9]]], [[6, [6]]]]];2;2;4
15;C101_3.dat;473;[[[[0, [0, 5, 3, 4, 1, 2, 6, 8, 14, 15, 13, 11, 10, 7, 0]], [5, []], [3, []], [4, []], [1, []], [2, []], [6, []], [8, [9, 12]], [9, []], [12, []], [14, []], [15, []], [13, []], [11, []], [10, []], [7, []]]], [[[8, [9, 12]]]]];1;1;4
15;C101_3.dat;406,0788655;[[[[0, [0, 10, 8, 6, 5, 4, 2, 1, 9, 7, 0]], [10, []], [8, []], [6, []], [5, []], [4, []], [2, []], [1, []], [9, []], [7, []]], [[0, [0, 3, 11, 13, 0]], [3, [14]], [11, [15]], [13, []], [15, []], [14, []], [12, [12]]]], [[[3, [14]]], [[11, [15]]], [[12, [12]]]]];2;2;4
15;C201_0.5.dat;486;[[[[0, [6, 14, 1, 2, 10, 5, 4, 11, 3, 7, 15, 13]], [8, [8, 12]], [10, []], [5, []], [4, []], [3, []], [7, []], [1, []], [2, []], [11, []], [9, [9]], [12, []], [14, []], [15, []], [13, []], [6, []]]], [[[8, [8, 12]]], [[9, [9]]]]];1;1;4
15;C201_0.5.dat;330,7452429;[[[[0, [6, 10, 11]], [6, []], [10, []], [11, []], [9, [9]], [2, [2]]], [[0, [1, 13]], [5, [5, 3]], [4, [4, 12, 7, 15]], [3, []], [7, []], [1, []], [12, [8, 14]], [14, []], [15, []], [13, []], [8, []]]], [[[5, [5, 3]]], [[4, [4, 12]]], [[4, [7, 15]]], [[12, [8, 14]]], [[9, [9]]], [[2, [2]]]]];2;2;4
15;C201_1.5.dat;650;[[[[0, [5, 3, 4, 7, 12, 14, 15, 13, 9, 11, 10, 8, 6, 2, 1]], [5, []], [2, []], [3, []], [4, []], [7, []], [1, []], [12, []], [14, []], [15, []], [13, []], [9, []], [11, []], [10, []], [8, []], [6, []]]], []];1;1;4
15;C201_1.5.dat;443;[[[[0, [3, 4, 11, 1, 2]], [4, []], [3, []], [7, [7, 5]], [1, []], [2, []], [10, [10]], [11, []], [5, []], [6, [6]]], [[0, [8, 15, 14, 13, 12]], [8, []], [13, []], [15, []], [14, []], [12, []], [9, [9]]]], [[[7, [7, 5]]], [[10, [10]]], [[6, [6]]], [[9, [9]]]]];2;2;4
15;C201_1.dat;545,4565535;[[[[0, [0, 5, 2, 1, 7, 3, 4, 10, 11, 14, 13, 0]], [8, [8]], [5, [9, 12]], [2, []], [1, []], [7, []], [3, []], [4, []], [10, [15]], [11, []], [9, []], [12, []], [14, [6]], [15, []], [13, []], [6, []]]], [[[5, [9, 12]]], [[8, [8]]], [[10, [15]]], [[14, [6]]]]];1;1;4
15;C201_1.dat;353;[[[[0, [5, 3]], [7, [7, 4]], [3, []], [4, []], [5, []], [6, [6]]], [[0, [1, 13]], [2, [2]], [1, [10, 11]], [11, []], [10, []], [9, [9, 12]], [13, []], [15, [15]], [14, [14]], [12, []], [8, [8]]]], [[[2, [2]]], [[1, [10, 11]]], [[7, [7, 4]]], [[9, [9, 12]]], [[15, [15]]], [[14, [14]]], [[6, [6]]], [[8, [8]]]]];2;2;4
15;C201_2.5.dat;771;[[[[0, [3, 9, 8, 1, 4, 15, 14, 7, 5, 13, 2, 10, 11]], [6, [6, 12]], [13, []], [15, []], [14, []], [12, []], [9, []], [11, []], [2, []], [1, []], [7, []], [3, []], [4, []], [5, []], [10, []], [8, []]]], [[[6, [6, 12]]]]];1;1;4
15;C201_2.5.dat;555;[[[[0, [9, 8, 10]], [10, []], [9, []], [12, [12]], [8, []]], [[0, [1, 2, 3, 11]], [5, [5, 13]], [2, []], [1, []], [4, [4]], [3, []], [7, [7]], [11, []], [13, []], [15, [15, 6]], [14, [14]], [6, []]]], [[[5, [5, 13]]], [[4, [4]]], [[7, [7]]], [[15, [15, 6]]], [[14, [14]]], [[12, [12]]]]];2;2;4
15;C201_2.dat;581,3793;[[[[0, [4, 13, 1, 2, 11, 10, 3]], [5, [5]], [2, []], [1, []], [7, [7, 14]], [3, []], [4, []], [10, []], [8, [8]], [11, []], [9, [9, 12]], [12, []], [14, []], [15, [15, 6]], [13, []], [6, []]]], [[[5, [5]]], [[7, [7, 14]]], [[8, [8]]], [[9, [9, 12]]], [[15, [15, 6]]]]];1;1;4
15;C201_2.dat;439,0788655;[[[[0, [3, 2, 1]], [2, []], [4, [4]], [3, []], [7, [7, 14]], [1, []], [14, []], [12, [12, 9]], [9, []], [8, [8]]], [[0, [10, 13, 11]], [5, [5]], [10, []], [11, []], [13, []], [15, [15, 6]], [6, []]]], [[[5, [5]]], [[4, [4]]], [[7, [7, 14]]], [[15, [15, 6]]], [[12, [12, 9]]], [[8, [8]]]]];2;2;4
15;C201_3.dat;729,9432;[[[[0, [2, 1, 13, 3, 4, 11]], [5, [5]], [10, [10]], [11, []], [2, []], [1, []], [7, [7]], [3, []], [4, []], [8, [8, 15, 14]], [9, [9]], [13, []], [15, []], [14, []], [12, [12]], [6, [6]]]], [[[5, [5]]], [[10, [10]]], [[7, [7]]], [[8, [14]]], [[8, [15]]], [[8, [8]]], [[9, [9]]], [[12, [12]]], [[6, [6]]]]];1;1;4
15;C201_3.dat;580,7344241;[[[[0, [1, 4]], [5, [5]], [3, [3]], [4, []], [7, [7]], [1, []], [15, [15]], [12, [12]]], [[0, [13, 2, 11]], [2, []], [10, [10]], [11, []], [14, [14]], [13, []], [6, [6]], [9, [9]], [8, [8]]]], [[[5, [5]]], [[3, [3]]], [[10, [10]]], [[7, [7]]], [[14, [14]]], [[15, [15]]], [[6, [6]]], [[12, [12]]], [[9, [9]]], [[8, [8]]]]];2;2;4
15;R101_0.5.dat;647,1803;[[[[0, [11, 3, 5, 14, 13, 4, 1, 2]], [6, [6]], [13, []], [2, []], [15, [15, 10]], [14, []], [5, []], [8, [8, 7]], [7, []], [11, []], [10, []], [1, []], [9, [9, 12]], [3, []], [4, []], [12, []]]], [[[6, [6]]], [[15, [15, 10]]], [[8, [8, 7]]], [[9, [9, 12]]]]];1;1;4
15;R101_0.5.dat;366;[[[[0, [14, 2, 13]], [13, []], [6, [6]], [5, [5, 15]], [8, [8]], [14, []], [15, []], [2, []]], [[0, [1]], [1, []], [7, [7, 10, 11]], [11, []], [10, []], [9, [9, 4]], [3, [3]], [4, []], [12, [12]]]], [[[7, [7, 10, 11]]], [[6, [6]]], [[5, [5, 15]]], [[8, [8]]], [[9, [9, 4]]], [[3, [3]]], [[12, [12]]]]];2;2;4
15;R101_1.5.dat;869;[[[[0, [10, 11, 14, 8, 15, 2, 6, 9, 4, 1]], [12, [12, 3]], [4, []], [3, []], [9, []], [1, []], [10, []], [11, []], [7, [7]], [8, []], [5, [5]], [14, []], [15, []], [2, []], [13, [13]], [6, []]]], [[[12, [12, 3]]], [[7, [7]]], [[5, [5]]], [[13, [13]]]]];1;1;4
15;R101_1.5.dat;568,2132034;[[[[0, [11, 1]], [1, []], [11, [2]], [7, [7]], [6, [6, 14]], [5, [5]], [14, []], [15, [15, 4]], [13, [13]], [2, []], [4, []], [12, [12]]], [[0, [8, 10, 9, 3]], [8, []], [10, []], [9, []], [3, []]]], [[[11, [2]]], [[7, [7]]], [[6, [6, 14]]], [[5, [5]]], [[15, [15, 4]]], [[13, [13]]], [[12, [12]]]]];2;2;4
15;R101_1.dat;761;[[[[0, [0, 6, 13, 2, 15, 14, 5, 8, 7, 11, 10, 1, 9, 3, 4, 12, 0]], [6, []], [13, []], [2, []], [15, []], [14, []], [5, []], [8, []], [7, []], [11, []], [10, []], [1, []], [9, []], [3, []], [4, []], [12, []]]], []];1;1;4
15;R101_1.dat;449;[[[[0, [12, 9, 4, 3, 2]], [12, []], [3, []], [9, []], [4, []], [2, []]], [[0, []], [1, [1, 13]], [10, [10, 5]], [11, [11]], [7, [7]], [8, [8, 14]], [5, []], [14, []], [15, [15]], [13, []], [6, [6]]]], [[[1, [1, 13]]], [[10, [10, 5]]], [[11, [11]]], [[7, [7]]], [[8, [8, 14]]], [[15, [15]]], [[6, [6]]]]];2;2;4
15;R101_2.5.dat;933,7507003;[[[[0, [3, 13, 4, 1, 14]], [2, [2]], [14, []], [15, [15, 11]], [13, [8]], [6, [6]], [5, [5]], [8, []], [7, [7, 10]], [11, []], [10, []], [1, []], [9, [9, 12]], [3, []], [4, []], [12, []]]], [[[2, [2]]], [[15, [15, 11]]], [[13, [8]]], [[6, [6]]], [[5, [5]]], [[7, [7, 10]]], [[9, [9, 12]]]]];1;1;4
15;R101_2.5.dat;623,4138127;[[[[0, [1, 11]], [13, [13]], [4, [4]], [3, [3]], [1, []], [10, [10, 7]], [7, []], [11, []], [9, [9, 12]], [12, []]], [[0, [5, 14]], [2, [2]], [15, [15]], [14, []], [5, []], [8, [8]], [6, [6]]]], [[[13, [13]]], [[2, [2]]], [[4, [4]]], [[3, [3]]], [[10, [10, 7]]], [[15, [15]]], [[9, [9, 12]]], [[8, [8]]], [[6, [6]]]]];2;2;4
15;R101_2.dat;949;[[[[0, [0, 6, 13, 2, 15, 14, 5, 8, 7, 11, 10, 1, 9, 3, 4, 0]], [6, []], [13, [12]], [2, []], [15, []], [14, []], [5, []], [8, []], [7, []], [11, []], [10, []], [1, []], [9, []], [3, []], [4, []], [12, []]]], [[[13, [12]]]]];1;1;4
15;R101_2.dat;680;[[[[0, [15, 14, 5, 13, 2]], [2, []], [15, []], [14, []], [5, []], [6, [6, 3]], [13, []], [4, [4]], [3, []], [12, [12]]], [[0, [11, 9, 1, 7, 10, 8]], [8, []], [7, []], [11, []], [10, []], [9, []], [1, []]]], [[[6, [6, 3]]], [[4, [4]]], [[12, [12]]]]];2;2;4
15;R101_3.dat;1162;[[[[0, [4, 2, 14, 15, 6, 5, 8, 7, 10, 9, 13, 1]], [12, [12, 3]], [4, []], [2, []], [14, []], [15, []], [13, []], [6, []], [5, []], [8, []], [7, []], [11, [11]], [10, []], [9, []], [3, []], [1, []]]], [[[12, [12, 3]]], [[11, [11]]]]];1;1;4
